name,title,path,description,summary_level
zctas-2010,"Zip-Code Tabulation Areas, 2010",https://herop-geodata.s3.us-east-2.amazonaws.com/census/zcta-2010-500k-shp.zip,"Shapefile of zip-code tabulation areas (ZCTAs) from the US Census Bureau, 2010.","name='zcta' code='860' geoid_length=5 allowed_id_columns=['HEROP_ID', 'GEOID', 'GEO ID', 'GEO_ID', 'ZCTA5', 'ZIP']"
counties-2010,"County Boundaries, 2010",https://herop-geodata.s3.us-east-2.amazonaws.com/census/county-2010-500k-shp.zip,"Shapefile of county boundaries from the US Census Bureau, 2010.","name='county' code='050' geoid_length=5 allowed_id_columns=['HEROP_ID', 'GEOID', 'GEO ID', 'GEO_ID', 'FIPS', 'COUNTYFP']"
states-2018,"State Boundaries, 2018",https://herop-geodata.s3.us-east-2.amazonaws.com/census/state-2018-500k-shp.zip,"Shapefile of state boundaries from the US Census Bureau, 2018.","name='state' code='040' geoid_length=2 allowed_id_columns=['HEROP_ID', 'GEOID', 'GEO ID', 'GEO_ID', 'FIPS', 'STATEFP']"
zctas-2020,"ZCTA Boundaries, 2020",https://herop-geodata.s3.us-east-2.amazonaws.com/census/zcta-2020-500k-shp.zip,"Shapefile of census Zip Code Tabulation Area boundaries from the US Census Bureau, 2020.","name='zcta' code='860' geoid_length=5 allowed_id_columns=['HEROP_ID', 'GEOID', 'GEO ID', 'GEO_ID', 'ZCTA5', 'ZIP']"
tracts-2020,"Census Tract Boundaries, 2020",https://herop-geodata.s3.us-east-2.amazonaws.com/census/tract-2020-500k-shp.zip,"Shapefile of census tract boundaries from the US Census Bureau, 2020.","name='tract' code='140' geoid_length=11 allowed_id_columns=['HEROP_ID', 'GEOID', 'GEO ID', 'GEO_ID', 'FIPS', 'TRACTCE']"
counties-2020,"County Boundaries, 2020",https://herop-geodata.s3.us-east-2.amazonaws.com/census/county-2020-500k-shp.zip,"Shapefile of county boundaries from the US Census Bureau, 2020.","name='county' code='050' geoid_length=5 allowed_id_columns=['HEROP_ID', 'GEOID', 'GEO ID', 'GEO_ID', 'FIPS', 'COUNTYFP']"
zctas-2018,"Zip-Code Tabulation Areas, 2018",https://herop-geodata.s3.us-east-2.amazonaws.com/census/zcta-2018-500k-shp.zip,"Shapefile of zip-code tabulation areas (ZCTAs) from the US Census Bureau, 2018.","name='zcta' code='860' geoid_length=5 allowed_id_columns=['HEROP_ID', 'GEOID', 'GEO ID', 'GEO_ID', 'ZCTA5', 'ZIP']"
states-2010,"State Boundaries, 2010",https://herop-geodata.s3.us-east-2.amazonaws.com/census/state-2010-500k-shp.zip,"Shapefile of state boundaries from the US Census Bureau, 2010.","name='state' code='040' geoid_length=2 allowed_id_columns=['HEROP_ID', 'GEOID', 'GEO ID', 'GEO_ID', 'FIPS', 'STATEFP']"
states-2020,"State Boundaries, 2020",https://herop-geodata.s3.us-east-2.amazonaws.com/census/state-2020-500k-shp.zip,"Shapefile of states boundaries from the US Census Bureau, 2020.","name='state' code='040' geoid_length=2 allowed_id_columns=['HEROP_ID', 'GEOID', 'GEO ID', 'GEO_ID', 'FIPS', 'STATEFP']"
tracts-2010,"Census Tract Boundaries, 2010",https://herop-geodata.s3.us-east-2.amazonaws.com/census/tract-2010-500k-shp.zip,"Shapefile of census tract boundaries from the US Census Bureau, 2010.","name='tract' code='140' geoid_length=11 allowed_id_columns=['HEROP_ID', 'GEOID', 'GEO ID', 'GEO_ID', 'FIPS', 'TRACTCE']"
counties-2018,"County Boundaries, 2018",https://herop-geodata.s3.us-east-2.amazonaws.com/census/county-2018-500k-shp.zip,"Shapefile of county boundaries from the US Census Bureau, 2018.","name='county' code='050' geoid_length=5 allowed_id_columns=['HEROP_ID', 'GEOID', 'GEO ID', 'GEO_ID', 'FIPS', 'COUNTYFP']"
tracts-2018,"Census Tract Boundaries, 2018",https://herop-geodata.s3.us-east-2.amazonaws.com/census/tract-2018-500k-shp.zip,"Shapefile of census tract boundaries from the US Census Bureau, 2018.","name='tract' code='140' geoid_length=11 allowed_id_columns=['HEROP_ID', 'GEOID', 'GEO ID', 'GEO_ID', 'FIPS', 'TRACTCE']"
