theme,construct,name,table_source
Composite,Social Vulnerability Indices,SviSmryRnk,zcta-2018
Composite,Social Vulnerability Indices,SviTh1,zcta-2018
Composite,Social Vulnerability Indices,SviTh2,zcta-2018
Composite,Social Vulnerability Indices,SviTh3,zcta-2018
Composite,Social Vulnerability Indices,SviTh4,zcta-2018
Economic,Employment Trends,EssnWrkE,zcta-2018
Economic,Employment Trends,EssnWrkP,zcta-2018
Economic,Employment Trends,HghRskP,zcta-2018
Economic,Employment Trends,HltCrP,zcta-2018
Economic,Employment Trends,RetailP,zcta-2018
Economic,Employment Trends,TotWrkE,zcta-2018
Economic,Great Recession Foreclosure Rate,GiniCoeff,zcta-2018
Economic,Internet Access,NoIntP,zcta-2018
Economic,"Poverty, Income, Gini Coefficient",MedInc,zcta-2018
Economic,"Poverty, Income, Gini Coefficient",PciE,zcta-2018
Economic,"Poverty, Income, Gini Coefficient",PovP,zcta-2018
Economic,"Poverty, Income, Gini Coefficient",UnempP,zcta-2018
Environment,Alcohol Outlet Density Measures,AlcDens,zcta-2018
Environment,Alcohol Outlet Density Measures,AlcPerCap,zcta-2018
Environment,Alcohol Outlet Density Measures,AlcTot,zcta-2018
Environment,Alcohol Outlet Density Measures,AreaSqMi,zcta-2018
Environment,Greenspace Measures,Ndvi,zcta-2018
Environment,Housing Characteristics,LngTermP,zcta-2018
Environment,Housing Characteristics,MobileP,zcta-2018
Environment,Housing Characteristics,RentalP,zcta-2018
Environment,Housing Characteristics,TotUnits,zcta-2018
Environment,Housing Characteristics,UnitDens,zcta-2018
Environment,Housing Characteristics,VacantP,zcta-2018
Environment,Spatial Access to Hospitals,HospCntDr,zcta-2020
Environment,Spatial Access to Hospitals,HospMinDis,zcta-2020
Environment,Spatial Access to Hospitals,HospTmDr,zcta-2020
Environment,Spatial Access to MOUDs,BupCntBk30,zcta-2020
Environment,Spatial Access to MOUDs,BupCntBk60,zcta-2020
Environment,Spatial Access to MOUDs,BupCntDr30,zcta-2020
Environment,Spatial Access to MOUDs,BupCntDr60,
