theme,construct,name,table_source,all years
Composite,SDOH Indices & Typology,LimMobInd,tract-sdoh-2014,2014
Composite,SDOH Indices & Typology,MicaInd,tract-sdoh-2014,2014
Composite,SDOH Indices & Typology,NeighbTyp,tract-sdoh-2014,2014
Composite,SDOH Indices & Typology,SocEcAdvIn,tract-sdoh-2014,2014
Composite,SDOH Indices & Typology,UrbCoreInd,tract-sdoh-2014,2014
Composite,Social Vulnerability Indices,SviSmryRnk,tract-2018,"2018,2020,2022"
Composite,Social Vulnerability Indices,SviTh1,tract-2018,"2018,2020,2022"
Composite,Social Vulnerability Indices,SviTh2,tract-2018,"2018,2020,2022"
Composite,Social Vulnerability Indices,SviTh3,tract-2018,"2018,2020,2022"
Composite,Social Vulnerability Indices,SviTh4,tract-2018,"2018,2020,2022"
Economic,Employment Trends,EduP,tract-2018,"2018,2020,2023"
Economic,Employment Trends,EssnWrkE,tract-2018,2018
Economic,Employment Trends,EssnWrkP,tract-2018,"2018,2020,2023"
Economic,Employment Trends,HghRskP,tract-2018,"2018,2020,2023"
Economic,Employment Trends,HltCrP,tract-2018,"2018,2020,2023"
Economic,Employment Trends,RetailP,tract-2018,"2018,2020,2023"
Economic,Employment Trends,TotWrkE,tract-2018,"2018,2020,2023"
Economic,Great Recession Foreclosure Rate,ForDqP,tract-2018,2018
Economic,Great Recession Foreclosure Rate,ForDqTot,tract-2018,2018
Economic,Great Recession Foreclosure Rate,GiniCoeff,tract-2018,"2010,2018,2020,2023"
Economic,Internet Access,NoIntP,tract-2019,2019
Economic,"Poverty, Income, Gini Coefficient",MedInc,tract-2018,"2010,2018,2020,2023"
Economic,"Poverty, Income, Gini Coefficient",PciE,tract-2018,"2010,2018,2020,2023"
Economic,"Poverty, Income, Gini Coefficient",PovP,tract-2018,"1980,1990,2000,2010,2018,2020,2023"
Economic,"Poverty, Income, Gini Coefficient",UnempP,tract-2018,"1980,1990,2000,2010,2018,2020,2023"
Environment,Alcohol Outlet Density Measures,AlcDens,tract-2018,2018
Environment,Alcohol Outlet Density Measures,AlcPerCap,tract-2018,2018
Environment,Alcohol Outlet Density Measures,AlcTot,tract-2018,2018
Environment,Alcohol Outlet Density Measures,AreaSqMi,tract-2018,2018
Environment,Greenspace Measures,Ndvi,tract-2018,2018
Environment,Healthcare Provider Access,PcpPer100k,tract-providers-2010,2010
Environment,Healthcare Provider Access,SpPer100k,tract-providers-2010,2010
Environment,Healthcare Provider Access,TotPcp,tract-providers-2010,2010
Environment,Healthcare Provider Access,TotSp,tract-providers-2010,2010
Environment,Housing Characteristics,LngTermP,tract-2018,"2018,2020,2023"
Environment,Housing Characteristics,MobileP,tract-2018,"2018,2020,2023"
Environment,Housing Characteristics,RentalP,tract-2018,"2018,2020,2023"
Environment,Housing Characteristics,TotUnits,tract-2018,"1980,1990,2000,2010,2018,2020,2023"
Environment,Housing Characteristics,UnitDens,tract-2018,"2018,2020,2023"
Environment,Housing Characteristics,VacantP,tract-2018,"1980,1990,2000,2010,2018,2020,2023"
Environment,Spatial Access to Hospitals,HospCntDr,tract-2020,2020
