theme,construct,name,table_source
Economic,Employment Trends,EssnWrkE,state-2018
Economic,Employment Trends,EssnWrkP,state-2018
Economic,Employment Trends,HghRskP,state-2018
Economic,Employment Trends,HltCrP,state-2018
Economic,Employment Trends,RetailP,state-2018
Economic,Employment Trends,TotWrkE,state-2018
Economic,Great Recession Foreclosure Rate,ForDqP,state-2018
Economic,Great Recession Foreclosure Rate,ForDqTot,state-2018
Economic,Great Recession Foreclosure Rate,GiniCoeff,state-2018
Economic,Internet Access,NoIntP,state-2018
Economic,"Poverty, Income, Gini Coefficient",MedInc,state-2018
Economic,"Poverty, Income, Gini Coefficient",PciE,state-2018
Economic,"Poverty, Income, Gini Coefficient",PovP,state-2018
Economic,"Poverty, Income, Gini Coefficient",UnempP,state-2018
Environment,Alcohol Outlet Density Measures,AlcDens,state-2018
Environment,Alcohol Outlet Density Measures,AlcPerCap,state-2018
Environment,Alcohol Outlet Density Measures,AlcTot,state-2018
Environment,Alcohol Outlet Density Measures,AreaSqMi,state-2018
Environment,Greenspace Measures,Ndvi,state-2018
Environment,Greenspace Measures,ParkArea,
Environment,Greenspace Measures,StateArea,state-2018
Environment,Healthcare Provider Access,TotPcp,state-providers-2010
Environment,Healthcare Provider Access,TotSp,state-providers-2010
Environment,Housing Characteristics,LngTermP,state-2018
Environment,Housing Characteristics,MobileP,state-2018
Environment,Housing Characteristics,RentalP,state-2018
Environment,Housing Characteristics,TotUnits,state-2018
Environment,Housing Characteristics,UnitDens,state-2018
Environment,Housing Characteristics,VacantP,state-2018
Environment,Spatial Access to Hospitals,HospAvTmDr,state-2020
Environment,Spatial Access to Hospitals,HospCtTmDr,state-2020
Environment,Spatial Access to Hospitals,HospTmDrP,state-2020
Environment,Spatial Access to MOUDs,AvBupTime,state-2020
Environment,Spatial Access to MOUDs,AvMetTime,state-2020
Environment,Spatial Access to MOUDs,AvNaltTime,state-2020
Environment,Spatial Access to MOUDs,BupAvTmBk,
Environment,Spatial Access to MOUDs,BupAvTmDr,
Environment,Spatial Access to MOUDs,BupAvTmWk,
Environment,Spatial Access to MOUDs,BupCtTmBk,
Environment,Spatial Access to MOUDs,BupCtTmDr,
Environment,Spatial Access to MOUDs,BupCtTmWk,
Environment,Spatial Access to MOUDs,BupTmBkP,
Environment,Spatial Access to MOUDs,BupTmDrP,
Environment,Spatial Access to MOUDs,BupTmWkP,
Environment,Spatial Access to MOUDs,CntBupT,state-2020
Environment,Spatial Access to MOUDs,CntMetT,state-2020
Environment,Spatial Access to MOUDs,CntNaltT,state-2020
Environment,Spatial Access to MOUDs,MetAvTmBk,
Environment,Spatial Access to MOUDs,MetAvTmDr,
Environment,Spatial Access to MOUDs,MetAvTmWk,
Environment,Spatial Access to MOUDs,MetCtTmBk,
Environment,Spatial Access to MOUDs,MetCtTmDr,
Environment,Spatial Access to MOUDs,MetCtTmWk,
Environment,Spatial Access to MOUDs,MetTmBkP,
Environment,Spatial Access to MOUDs,MetTmDrP,
Environment,Spatial Access to MOUDs,MetTmWkP,
Environment,Spatial Access to MOUDs,NaltAvTmBk,
Environment,Spatial Access to MOUDs,NaltAvTmDr,
Environment,Spatial Access to MOUDs,NaltAvTmWk,
Environment,Spatial Access to MOUDs,NaltCtTmBk,
Environment,Spatial Access to MOUDs,NaltCtTmDr,
Environment,Spatial Access to MOUDs,NaltCtTmWk,
Environment,Spatial Access to MOUDs,NaltTmBkP,
Environment,Spatial Access to MOUDs,NaltTmDrP,
Environment,Spatial Access to MOUDs,NaltTmWkP,
Environment,Spatial Access to MOUDs,OtpAvTmDr,state-2021
Environment,Spatial Access to MOUDs,OtpCtTmDr,state-2021
Environment,Spatial Access to MOUDs,OtpTmDrP,state-2021
Environment,Spatial Access to MOUDs,PctBupT,state-2020
Environment,Spatial Access to MOUDs,PctMetT,state-2020
Environment,Spatial Access to MOUDs,PctNaltT,state-2020
Environment,Spatial Access to Mental Health Providers,MhAvTmDr,state-2020
Environment,Spatial Access to Mental Health Providers,MhCtTmDr,state-2020
Environment,Spatial Access to Mental Health Providers,MhTmDrP,state-2020
Environment,Spatial Access to Pharmacies,RxAvTmDr,state-2019
Environment,Spatial Access to Pharmacies,RxCtTmDr,state-2019
Environment,Spatial Access to Pharmacies,RxTmDrP,state-2019
Environment,Spatial Access to Substance Use Treatment Providers,SutpAvTmDr,state-2020
Environment,Spatial Access to Substance Use Treatment Providers,SutpCtTmDr,state-2020
Environment,Spatial Access to Substance Use Treatment Providers,SutpTmDrP,state-2020
Environment,Spatial access to Health Centers,FqhcAvTmDr,state-2020
Environment,Spatial access to Health Centers,FqhcCtTmDr,state-2020
Environment,Spatial access to Health Centers,FqhcTmDrP,state-2020
Environment,Spatial access to Health Centers,TotTracts,state-2018
Geography,Geographic Boundaries,FIPS,
Geography,Geographic Boundaries,HEROP_ID,
Outcome,Hepatitis C Rates,A50_74Hcv,state-2017
Outcome,Hepatitis C Rates,A50_74HcvD,
Outcome,Hepatitis C Rates,AmInHcvD,
Outcome,Hepatitis C Rates,AsHcvD,
Outcome,Hepatitis C Rates,AsPiHcvD,
Outcome,Hepatitis C Rates,AvA50_74HcvD,state-2017
Outcome,Hepatitis C Rates,AvAmInHcvD,state-2017
Outcome,Hepatitis C Rates,AvAsHcvD,
Outcome,Hepatitis C Rates,AvAsPiHcvD,state-2017
Outcome,Hepatitis C Rates,AvBlkHcvD,state-2017
Outcome,Hepatitis C Rates,AvFlHcvD,state-2017
Outcome,Hepatitis C Rates,AvHcvD,state-2017
Outcome,Hepatitis C Rates,AvHspHcvD,state-2017
Outcome,Hepatitis C Rates,AvMlHcvD,state-2017
Outcome,Hepatitis C Rates,AvMulHcvD,
Outcome,Hepatitis C Rates,AvNhPiHcvD,
Outcome,Hepatitis C Rates,AvO75HcvD,state-2017
Outcome,Hepatitis C Rates,AvU50HcvD,state-2017
Outcome,Hepatitis C Rates,AvWhHcvD,
Outcome,Hepatitis C Rates,BlkHcv,
Outcome,Hepatitis C Rates,BlkHcvD,
Outcome,Hepatitis C Rates,FlHcvD,
Outcome,Hepatitis C Rates,FmHcv,
Outcome,Hepatitis C Rates,HcvD,
Outcome,Hepatitis C Rates,HspHcvD,
Outcome,Hepatitis C Rates,MlHcv,
Outcome,Hepatitis C Rates,MlHcvD,
Outcome,Hepatitis C Rates,MulHcvD,
Outcome,Hepatitis C Rates,NhPiHcvD,
Outcome,Hepatitis C Rates,NonBlkHcv,
Outcome,Hepatitis C Rates,O75HcvD,
Outcome,Hepatitis C Rates,Ov75Hcv,
